cohort,age,sex,year,mortality,yld,N,subPops,prop0,prop1,prop2,prop3,prop4,mort_RR0,mort_RR1,mort_RR2,mort_RR3,mort_RR4,yld_RR0,yld_RR1,yld_RR2,yld_RR3,yld_RR4
0,2,female,2011,0.000150011251125,0.032138411587622005,44100.0,5,0.2,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,3,female,2012,0.0001267582394637,0.032138411587622005,44100.0,5,0.2,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,4,female,2013,0.00010457450170332749,0.032138411587622005,44100.0,5,0.2,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,5,female,2014,9.269057210551915e-05,0.035087215524272,44100.0,5,0.2,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,6,female,2015,7.229792320546064e-05,0.035087215524272,44100.0,5,0.2,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,7,female,2016,5.286732763720731e-05,0.035087215524272,44100.0,5,0.2,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,8,female,2017,5.154564444627712e-05,0.035087215524272,44100.0,5,0.2,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,9,female,2018,5.863346374016875e-05,0.035087215524272,44100.0,5,0.2,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,10,female,2019,8.166926389718952e-05,0.036171729072649005,44100.0,5,0.2,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,11,female,2020,0.00011944428483084216,0.036171729072649005,44100.0,5,0.2,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,12,female,2021,0.00017081130652121118,0.036171729072649005,44100.0,5,0.2,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,13,female,2022,0.00024225360435124778,0.036171729072649005,44100.0,5,0.2,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,14,female,2023,0.0003026413675098336,0.036171729072649005,44100.0,5,0.2,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,15,female,2024,0.00035986416713110577,0.10124642167116803,44100.0,5,0.2,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,16,female,2025,0.00040702266093628443,0.10124642167116803,44100.0,5,0.2,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,17,female,2026,0.0004310688328494389,0.10124642167116803,44100.0,5,0.2,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,18,female,2027,0.00044475800763309415,0.10124642167116803,44100.0,5,0.2,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
